Albums,Bio,Born,Born In,Dies,Listeners,Period,Similar Composers,Tags,Top Songs,composer,wiki
"['John Dunstable - JOHN DUNSTAPLE: Masses & Motets', 'John Dunstable - Dunstable: Quam Pulchra Es / Veni Sancte Spiritus / Mass Movements', 'John Dunstable - Tudor City', 'John Dunstable - Medieval & Gregorian Chant', 'John Dunstable - Dunstable - Motets']","John Dunstaple redirects here.  John Dunstaple or Dunstable (c. 1390 – December 24, 1453) was an English composer of polyphonic music of the late medieval era and early Renaissance. He was one of the most famous composers active in the early 15th century, a near-contemporary of Leonel Power, and was widely influential, not only in England but on the continent, especially in the developing style of the Burgundian School.  The spelling ""Dunstaple"" is generally to be preferred <a href=""https://www.last.fm/music/John+Dunstable"">Read more on Last.fm</a>",,,24 December 1453 (aged None),14508,Medieval,"['Jacob Obrecht', 'Pierre de La Rue', 'Manuel Cardoso', 'Nicolas Gombert', 'Claudin de Sermisy']",[],"['John Dunstable - Quam pulchra es, JD 44', 'John Dunstable - Sanctus, JD 6', 'John Dunstable - Veni Sancte Spiritus - Veni Creator', 'John Dunstable - Agnus Dei, JD 14', 'John Dunstable - Credo (Jesu Christe Fili Dei), JD 16', 'John Dunstable - Gloria (Jesu Christe Fili Dei), JD 15', 'John Dunstable - Credo a 4, JD 12', 'John Dunstable - Sanctus (Da gaudiorum premia), JD 18', 'John Dunstable - Gloria in canon (reconstructed M. Bent)', 'John Dunstable - Gloria a 4, JD 11']",John Dunstaple,/wiki/John_Dunstaple
"['Leonel Power - The Rose, the Lily & the Whortleberry - Medieval and Renaissance Gardens in Music', ""Leonel Power - Music at All Soul's, Oxford"", 'Leonel Power - A Medieval Christmas', 'Leonel Power - Discover the History of Classical Music - The Medieval Period', 'Leonel Power - On the Way to Bethlehem: Music of the Medieval Pilgrim']","Leonel Power (1370 to 1385 – June 5, 1445) was an English composer of the late Medieval and early Renaissance eras. Along with John Dunstaple also known as John Dunstable, he was one of the major figures in English music in the early 15th century.  A few details of his life are known with certainty, and some others are speculative. He was probably from Kent, and likely born between 1370 and 1385, based on stylistic evidence of his music as well as his probable age during his known appointments. <a href=""https://www.last.fm/music/Leonel+Power"">Read more on Last.fm</a>",,"Kent, England, United Kingdom",5 June 1445 (aged None),2487,Medieval,"['Niccolò da Perugia', 'Andrea da Firenze', 'Bartolino da Padova', 'Petrus de Cruce', 'Matteo da Perugia']",[],"['Leonel Power - Motet - Quam pulchra es', 'Leonel Power - Beata progenies', 'Leonel Power - Credo', 'Leonel Power - Sanctus', 'Leonel Power - Leonel Power: Credo', 'Leonel Power - Power: Salve Regina', 'Leonel Power - Power: Messen und Motetten: Ave Regina, OH 43 - 3-stimmige Motette', 'Leonel Power - Power: Messen und Motetten: Gloria, OH 21 - 5-stimmig', 'Leonel Power - Power: Messen und Motetten: Beata viscera - 3-stimmige Motette', 'Leonel Power - Missa ""Alma redemptoris mater"": Gloria']",Leonel Power,/wiki/Leonel_Power
"['Oswald von Wolkenstein - Wolkenstein: ""Songs of Myself""', 'Oswald von Wolkenstein - Argentum et aurum', 'Oswald von Wolkenstein - Classical Music for Kicking Back', 'Oswald von Wolkenstein - Classical Hits of Early Music', 'Oswald von Wolkenstein - Wolkenstein, O. Von: Vocal Music']","Oswald von Wolkenstein (1376 or 1377, presumably in Castle Schöneck in Kiens – August 2, 1445 in Meran) was a poet, composer and diplomat. In the latter capacity, he traveled through much of Europe, even as far as Georgia (as recounted in ""Durch Barbarei, Arabia""), and was inducted into the Order of the Dragon. He lived for a time in Seis am Schlern.   <a href=""https://www.last.fm/music/Oswald+von+Wolkenstein"">Read more on Last.fm</a>",1377,,2 August 1445 (aged 68),4335,Medieval,"['Lorenzo da Firenze', 'Johannes Ciconia', 'Gherardello da Firenze', 'Andrea da Firenze', 'Baude Cordier']",[],"['Oswald von Wolkenstein - Es fügt sich: I, II, III', 'Oswald von Wolkenstein - Skak - Frolich geschrai so well wir machen', 'Oswald von Wolkenstein - Zergangen Ist Meins Herzen We', 'Oswald von Wolkenstein - Vil lieber grüsse süsse', 'Oswald von Wolkenstein - Durch Barbarei, Arabia', 'Oswald von Wolkenstein - Nu Rue Mit Sorgen', 'Oswald von Wolkenstein - Der mai mit lieber zal', 'Oswald von Wolkenstein - Der oben swebt', 'Oswald von Wolkenstein - Herz, Müt, Leib, Sel', 'Oswald von Wolkenstein - Ach, Senliches Leiden']",Oswald von Wolkenstein,/wiki/Oswald_von_Wolkenstein
"['Johannes Ciconia - Ballate e Madrigali', 'Johannes Ciconia - Dunstable: Sancta Maria Succure Miseris / Ciconia: Gloria / Palestrina: Missa Aeterna Christi Munera', 'Johannes Ciconia - Ciconia: Opera Omnia', 'Johannes Ciconia - Medieval Music - Alfonso X / Carceres, B./ Wolkenstein, O. Von', 'Johannes Ciconia - (null)']","Johannes Ciconia (c. 1335 or c. 1370–1412) was a late mediaeval composer and music theorist. He has possibly been conflated with his father of the same name in some biographical accounts, hence the uncertainty over his date of birth. All the composer's works are believed to date from later than about 1390.  Ciconia was born in Liège. A Johannes Ciconia, probably the composer's father, worked in Avignon in 1350 as a clerk for the wife of the nephew of Pope Clement VI. <a href=""https://www.last.fm/music/Johannes+Ciconia"">Read more on Last.fm</a>",1370,"Liège, Liège, Wallonie, Belgium",July 1412 (aged 42),3463,Medieval,"['Lorenzo da Firenze', 'Jacob de Senleches', 'Andrea da Firenze', 'Bartolino da Padova', 'Niccolò da Perugia']",[],"['Johannes Ciconia - Per quella strada lactea del cielo', 'Johannes Ciconia - Gloria', 'Johannes Ciconia - Le ray au soleyl', 'Johannes Ciconia - La flamma del to amor', 'Johannes Ciconia - O rosa bella', 'Johannes Ciconia - Regina gloriosa', 'Johannes Ciconia - Sus une fontayne', 'Johannes Ciconia - Una panthera in compagnia de Marte', 'Johannes Ciconia - Ligiadra donna', 'Johannes Ciconia - O rosa bella, o dolce anima mia']",Johannes Ciconia,/wiki/Johannes_Ciconia
"['Solage - The Unknown Lover: songs by Solage and Machaut', 'Solage - Cesena: Songs for popes, princes & mercenaries', 'Solage - The Art of Courtly Love', 'Solage - Figures of Harmony: Songs of Codex Chantilly c. 1390', 'Solage - Medée fu - Ballades & ballate - Música francesa e italiana de finales del siglo XIV']","Solage (or Soulage), possibly Jean So(u)lage (fl. late 14th century) was a French composer, and probably also a poet. He composed the most pieces in the Chantilly Codex, the principal source of music of the ars subtilior, the manneristic compositional school centered on Avignon at the end of the century.  Nothing is known about Solage's life, beyond what can be inferred from the texts to his music. Even his name is a puzzle. One possibility is that the single name ""Solage"" is a nickname or pseudonym <a href=""https://www.last.fm/music/Solage"">Read more on Last.fm</a>",,,1403 (aged None),957,Medieval,"['Matteo da Perugia', 'Johannes Ciconia', 'Baude Cordier', 'Borlet', 'Francesco Landini']",[],"['Solage - Fumeux fume par fumee', 'Solage - Fumeux fume', 'Solage - Tres Gentil Cuer', 'Solage - Corps feminin', 'Solage - Le basile', 'Solage - Fumeux fume par fumée', ""Solage - En l'amoureux vergier"", ""Solage - S'aincy estoit"", 'Solage - Helas! je voy mon cuer', 'Solage - Joieux de cuer']",Solage,/wiki/Solage
"['Jacob Senleches - Ce Diabolic Chant (The Medieval Ensemble of London)', 'Jacob Senleches - Century 7 - Ars Subtilior (Dawn of the Renaissance) HMX2908169', 'Jacob Senleches - (null)', 'Jacob Senleches - Ars Subtilior (Dawn of the Renaissance)', 'Jacob Senleches - Dawn of the Renaissance']","Jacob Senleches (fl. 1382/1383 – 1395) (also Jacob Senlechos and Jacopinus Selesses) was a Franco-Flemish composer and harpist of the late Medieval era. He was one of the composers who worked in a style commonly known as the ars subtilior.  It has been suggested that Jacob Senleches has been born in St. Luc near Evreux, France (U. Günther) or in Senleches (or Sanlesches) in Cambrai, today France (A. Tomasello). In 1382 he seems to have been present at the court of Eleanor of Castile (d. <a href=""https://www.last.fm/music/Jacob+Senleches"">Read more on Last.fm</a>",,"Évreux, Eure, Normandie, France",1395 (aged None),232,Medieval,"['Johannes Ciconia', 'Solage', 'Roman de Fauvel', 'Baude Cordier', 'Guillaume Dufay']",[],"['Jacob Senleches - La harpe de melodie', 'Jacob Senleches - La harpe de mélodie', 'Jacob Senleches - Jhesu Lux Vera Mencium', 'Jacob Senleches - Fuions de ci', 'Jacob Senleches - Tel me voit et me regarde', 'Jacob Senleches - La harpe de mellodie', 'Jacob Senleches - En ce gracieux tamps joli', 'Jacob Senleches - En attendant espérance conforte', 'Jacob Senleches - Fuions de ci fuions povre compaigne', 'Jacob Senleches - En ce gracieux tamps']",Jacob Senleches,/wiki/Jacob_Senleches
"['Francesco Landini - The Second Circle - Love Songs of Francesco Landini', 'Francesco Landini - Landini: Ballate', 'Francesco Landini - Codex Faenza: Instrumental Music of the Early XVth Century', 'Francesco Landini - harmonia mundi - Gold 2013', 'Francesco Landini - Classical Hits of Early Music']","Francesco Landini or Landino (around 1325 – September 2, 1397) was an Italian composer, organist, singer, poet and instrument maker. He was one of the most famous and revered composers of the second half of the 14th century, and by far the most famous composer in Italy.  Details of his life are sketchy, but a few facts can be established with certainty, and the general outline has begun to take shape as more research has been done, especially into Florentine records. <a href=""https://www.last.fm/music/Francesco+Landini"">Read more on Last.fm</a>",1325,"Toscana, Italy",2 September 1397 (aged 72),10733,Medieval,"['Jacopo da Bologna', 'John Dunstable', 'Johannes Ciconia', 'Lorenzo da Firenze', 'Adam de la Halle']",[],"[""Francesco Landini - Non avrà ma'pietà questa mia donna"", 'Francesco Landini - Non ara may pieta questa mia dona', 'Francesco Landini - Echo La Primavera', 'Francesco Landini - Quanto piu caro fai', 'Francesco Landini - Ecco La Primavera', 'Francesco Landini - Nella partita', 'Francesco Landini - Per allegreça', 'Francesco Landini - Angelica Biltà', 'Francesco Landini - Adiu, adiu, dous dame', 'Francesco Landini - Cara mie donna']",Francesco Landini,/wiki/Francesco_Landini
"['Jacopo da Bologna - A Meeting Place: Medieval & Renaissance Music for Lute & Ud', 'Jacopo da Bologna - Codex Faenza: Instrumental Music of the Early 15th Century', 'Jacopo da Bologna - Jacopo da Bologna: Madrigali e Cacce', 'Jacopo da Bologna - Cacciando per gustar: cacce e madrigali del Trecento Italiano', 'Jacopo da Bologna - Jacopo da Bologna: Italian Madrigals of the 14th Century']","Jacopo da Bologna (fl. 1340–1360) was an Italian composer of the trecento, the period sometimes known as the Italian ars nova. He was one of the first composers of this group, making him a contemporary of Gherardello da Firenze and Giovanni da Firenze. He is mostly known for his madrigals but also composed several cacce and caccia/madrigal hybrids.  His setting of Non al suo amante, written about 1350, is the only known contemporary setting of Petrarch's poetry. <a href=""https://www.last.fm/music/Jacopo+da+Bologna"">Read more on Last.fm</a>",1325,"Toscana, Italy",2 September 1397 (aged 72),7619,Medieval,"['Francesco Landini', 'Ensemble PAN', 'John Dunstable', 'Adam de la Halle', 'Ulsamer Collegium']",[],"['Jacopo da Bologna - Aspire refus contre doulce priere', 'Jacopo da Bologna - Untitled', ""Jacopo da Bologna - Aquil' altera, ferma / Creatura gentil / Uccel' di Dio"", 'Jacopo da Bologna - Aquila altera', 'Jacopo da Bologna - Elas mon cuer', 'Jacopo da Bologna - Aspire refus', 'Jacopo da Bologna - Non Al Suo Amante', 'Jacopo da Bologna - Di novo e giunto', 'Jacopo da Bologna - Fenice fu’ e vissi (Madrigale)', ""Jacopo da Bologna - In su' be' fiori (madrigale)""]",Jacopo da Bologna,/wiki/Jacopo_da_Bologna
"['Guillaume de Machaut - Le lai de la fonteinne', 'Guillaume de Machaut - Messe de notre dame', 'Guillaume de Machaut - MACHAUT: La Messe de Nostre Dame / Le Voir Dit', 'Guillaume de Machaut - MACHAUT: Messe de Nostre Dame (La) / Le Voir Dit', 'Guillaume de Machaut - Messe de Notre Dame - Pérès, Ensemble Organum (1997 Harmonia Mundi)']","Guillaume de Machaut, sometimes spelt Machault (c.1300–1377), was an important mediaeval French poet and composer.  Guilllaume de Machaut was ""the last great poet who was also a composer,"" in the words of the scholar Daniel Leech-Wilkinson. Well into the fifteenthth century, Machaut's poetry was greatly admired and imitated by other poets including Geoffrey Chaucer.  Machaut is also the most celebrated composer of the 14th century; he composed in a wide range of styles and forms and his output was enormous. <a href=""https://www.last.fm/music/Guillaume+de+Machaut"">Read more on Last.fm</a>",1300,,1377 (aged 77),46074,Medieval,"['Carlo Gesualdo', 'Anonymous', 'Claudio Monteverdi', 'William Byrd', 'Giovanni Pierluigi da Palestrina']",[],"['Guillaume de Machaut - Le lai de la fonteinne 11', 'Guillaume de Machaut - Kyrie', 'Guillaume de Machaut - Credo', 'Guillaume de Machaut - Gloria', 'Guillaume de Machaut - Le lai de la fonteinne 7', 'Guillaume de Machaut - Agnus Dei', ""Guillaume de Machaut - Puis qu'en oubli"", 'Guillaume de Machaut - Sanctus', 'Guillaume de Machaut - Ballade 32: Plourez dames', 'Guillaume de Machaut - Le lai de la fonteinne 4']",Guillaume de Machaut,/wiki/Guillaume_de_Machaut
"['Philippe de Vitry - DHM Splendeurs: Vitry: Motets Et Chansons', 'Philippe de Vitry - Philippe de Vitry And The Ars Nova', 'Philippe de Vitry - Choral Music (13Th Century) - Catholicorum Concio / Introitus / Conductus Xi', 'Philippe de Vitry - Hildegard Of Bingen: Ave Generosa / Oswald Von Wolkenstein: Ave Mater, O Maria / Riquier, G.: Humils, Forfaitz, Repres E Penedens', 'Philippe de Vitry - Almisonis Melos: Latin Motets and Mass Fragments in the Ivrea Codex']","Philippe de Vitry (October 31, 1291 – June 9, 1361) was a French composer, music theorist and poet. He was an accomplished, innovative, and influential composer, and may also have been the author of the Ars Nova treatise.  He was born in Paris. Biographical details of his life are sketchy. Given that he is often referred to in documents as ""Magister,"" he is thought likely to have studied at the University of Paris. Later he was prominent in the courts of Charles IV <a href=""https://www.last.fm/music/Philippe+de+Vitry"">Read more on Last.fm</a>",31 October 1291,,9 June 1361 (aged 69),3639,Medieval,"['Petrus de Cruce', 'Andrea da Firenze', 'Johannes Ciconia', 'Bartolino da Padova', 'Gherardello da Firenze']",[],"['Philippe de Vitry - Colla iugo subdere - Bona condit cetera - Libera me, Domine (Motette)', 'Philippe de Vitry - Cum Statua', 'Philippe de Vitry - Impudenter circumivi', 'Philippe de Vitry - Impudenter circumivi - Virtutibus laudabilis (Motette)', 'Philippe de Vitry - Vos quid admiramini / Gratissima / Gaude gloriosa', 'Philippe de Vitry - Vos qui admiramini - Gratissima virginis species', 'Philippe de Vitry - Garrit Gallus flendo dolorose - In nova fert animus - Neuma (Motette)', 'Philippe de Vitry - Cum Statua Nabucodonasor', 'Philippe de Vitry - Je qui paoir seule ai de conforter', 'Philippe de Vitry - Ay, amours! tant me dure']",Philippe de Vitry,/wiki/Philippe_de_Vitry
